rank,domain,company_name,score,employees,revenue,city,state,country
172,thejobsauce.com,The Job Sauce,560,11-50,1-10M,San Diego,CA,US
173,impress.ai,Impress.ai,559,51-200,10-100M,Newark,CA,US
174,precisehire.com,Precise Hire,558,11-50,10-100M,Prosper,TX,US
175,roninllc.com,Ronin Staffing,557,11-50,100M-1B,Glendale,CA,US
176,interseller.io,Interseller,557,11-50,1-10M,New York,NY,US
177,pritchettnet.com,"Pritchett, LP",556,11-50,10-100M,Dallas,TX,US
178,aptask.com,ApTask,553,201-500,10-100M,Iselin,NJ,US
179,enterprisealumni.com,EnterpriseAlumni,552,51-200,10-100M,Burbank,CA,US
180,engagerocket.co,EngageRocket Pte Ltd.,552,11-50,10-100M,Austin,TX,US
181,soaringroup.com,Soarin Group,551,11-50,1-10M,Lincoln,NE,US
182,cornerstoneondemand.com,Cornerstone OnDemand,550,201-500,>1B,Santa Monica,CA,US
183,qjumpers.com,QJumpers,550,11-50,10-100M,Richardson,TX,US
184,konnektors.com,Konnektors Technologies Inc.,549,51-200,1-10M,Malden,MA,US
185,wgconsulting.com,WG Consulting,549,51-200,10-100M,Houston,TX,US
186,scismic.com,Scismic,546,11-50,1-10M,Cambridge,MA,US
187,duapune.com,Duapune,546,11-50,10-100M,Ray,ID,US
188,thed2dexperts.com,The D2D Experts,545,11-50,1-10M,Draper,UT,US
189,recruitifi.com,RecruitiFi,544,11-50,10-100M,Davenport,IA,US
190,encorehealthcareadvisors.com,ENCORE,544,11-50,<1M,Chestertown,MD,US
191,eppione.com,Eppione Ltd,544,11-50,1-10M,Dublin,CA,US
192,onsinch.com,OnSinch,543,11-50,10-100M,Praha 1-Staré Město,52,CZ
193,salesgravy.com,Sales Gravy,542,51-200,10-100M,Thomson,GA,US
194,tempositions.com,The TemPositions Group of Companies,542,201-500,100M-1B,New York,NY,US
195,clickboarding.com,Click Boarding,542,51-200,10-100M,Minneapolis,MN,US
196,afidence.com,Afidence,542,11-50,10-100M,Mason,OH,US
197,cypresshcm.com,Cypress HCM,541,51-200,10-100M,Danville,CA,US
198,24x7careers.com,24x7 Careers,541,11-50,1-10M,Eagan,MN,US
199,turbohire.co,TurboHire,541,51-200,10-100M,New York,NY,US
200,hroptions.com,HR Options,540,51-200,100M-1B,Concord,CA,US
201,tracker-rms.com,Tracker,540,51-200,10-100M,San Diego,CA,US
202,sv.academy,SV Academy,537,201-500,10-100M,Miami,FL,US
203,pulsifi.me,Pulsifi,537,51-200,10-100M,,OR,US
204,arena.io,Arena Analytics,536,51-200,10-100M,Baltimore,MD,US
205,crosschq.com,Crosschq,536,51-200,10-100M,Danville,CA,US
206,cgfns.org,"CGFNS International, Inc.",536,201-500,10-100M,Philadelphia,PA,US
207,x2y4z.com,NEXTVERT,535,11-50,1-10M,,CT,US
208,peaksalesrecruiting.com,Peak Sales Recruiting,534,51-200,10-100M,Raleigh,NC,US
209,paradox.ai,Paradox,534,201-500,10-100M,Scottsdale,AZ,US
210,helloteam.com,HelloTeam,534,11-50,10-100M,Boston,MA,US
211,dna325.com,DNA325,533,11-50,10-100M,,TX,US
212,occu-med.com,Occu-Med,533,51-200,10-100M,Fresno,CA,US
213,trgfamco.com,The Richmond Group USA,533,11-50,10-100M,Richmond,VA,US
214,webwork-tracker.com,"WebWork AI, Inc.",533,11-50,1-10M,Wilmington,DE,US
215,stratesfy.com,Stratesfy,531,11-50,10-100M,Washington,DC,US
216,testdouble.com,Test Double,531,51-200,10-100M,Claymont,DE,US
217,neurony.ro,Neurony,530,11-50,10-100M,Bucharest,,RO
218,marketerhire.com,MarketerHire,528,51-200,10-100M,San Francisco,CA,US
219,vantagecircle.com,Vantage Circle,528,201-500,10-100M,Plano,TX,US
220,degordian.com,Degordian,527,51-200,10-100M,Zagreb-Maksimir,,HR
221,energage.com,Energage,527,201-500,10-100M,Exton,PA,US
222,hour.sk,"HOUR, spol. s r.o.",526,51-200,10-100M,Mojš,ZI,SK
223,fuel50.com,Fuel50,525,51-200,10-100M,Laguna Niguel,CA,US
224,recruitmilitary.com,RecruitMilitary,525,201-500,10-100M,Norfolk,VA,US
225,speakap.com,Speakap,525,51-200,10-100M,New York,NY,US
226,hubrecruiter.pl,HubRecruiter,525,11-50,1-10M,Warszawa,,PL
227,talroo.com,Talroo,524,51-200,10-100M,Austin,TX,US
228,jobvite.com,Jobvite,523,201-500,10-100M,Denver,CO,US
229,lawcrossing.com,LawCrossing.com,523,11-50,10-100M,Ephraim,UT,US
230,branddigitizer.com,Brand Digitizer,522,11-50,10-100M,New York,NY,US
231,kittlemansearch.com,"Kittleman & Associates, LLC",522,11-50,1-10M,Philadelphia,PA,US
232,exacthire.com,ExactHire,522,11-50,10-100M,Columbus,OH,US
233,jazzhr.com,JazzHR,522,51-200,10-100M,Waltham,MA,US
234,resume-library.com,Resume-Library.com,521,51-200,10-100M,Boston,MA,US
235,talent-alpha.com,Talent Alpha Sp. z o.o.,518,11-50,10-100M,Kraków,77,PL
236,wellsuited.com,Suited,518,11-50,1-10M,Los Angeles,CA,US
237,dm-consulting.biz,DM Consulting Services,516,11-50,1-10M,Ray,ID,US
238,huntica.works,Huntica,515,11-50,1-10M,,,US
239,peopletreegroup.com,Peopletree Group,515,11-50,10-100M,Greenville,DE,US
240,klizos.com,Klizo Solutions,515,51-200,10-100M,Port Saint Lucie,FL,US
241,hravity.com,HRAVITY,514,11-50,1-10M,Київ,,UA
242,projectusconsulting.com,PROJECTUS,513,11-50,1-10M,Boston,MA,US
243,agencytrust.org,AgencyTrust Recruiter,512,11-50,1-10M,Cheyenne,WY,US
244,bettsrecruiting.com,Betts Recruiting,510,51-200,10-100M,New York,NY,US
245,instride.com,InStride,510,201-500,100M-1B,Los Angeles,CA,US
246,credly.com,Credly by Pearson,510,51-200,10-100M,New York,NY,US
247,shaker.com,Shaker Recruitment Marketing,508,201-500,10-100M,Oak Park,IL,US
248,advice-hr.ro,Advice,508,11-50,1-10M,Bucureşti 63,,RO
249,goboon.co,Boon,508,11-50,10-100M,Los Angeles,CA,US
250,marketing-mob.com,Marketing Mob,508,11-50,1-10M,Atlanta,GA,US
251,allonehealth.com,AllOne Health,508,201-500,100M-1B,Wilkes Barre,PA,US
252,getro.com,Getro,507,11-50,10-100M,Boulder,CO,US
253,jbmrecruitment.com,JBM Recruitment,507,51-200,1-10M,Clarendon Hills,IL,US
254,resume.io,Resume.io,506,51-200,10-100M,New York,NY,US
255,humanly.io,Humanly,505,51-200,10-100M,Seattle,WA,US
256,havaspeople.com,Havas People,505,51-200,10-100M,Chicago,IL,US
257,novoed.com,NovoEd,505,51-200,10-100M,San Francisco,CA,US
258,higherme.com,HigherMe,505,11-50,10-100M,Claymont,DE,US
259,payfactors.com,Payscale,503,11-50,10-100M,Quincy,MA,US
260,flair.hr,flair,503,11-50,10-100M,Vienna,,HR
261,incrediblehealth.com,Incredible Health,503,51-200,10-100M,San Francisco,CA,US
262,progsquad.ro,Elit Consulting SRL,503,11-50,1-10M,Ron.,,RO
263,jmco.com,James Moore & Co.,503,201-500,100M-1B,Gainesville,FL,US
264,squiresgroup.com,The Squires Group,502,51-200,10-100M,Annapolis,MD,US
265,level9virtual.com,Level 9 Virtual,502,51-200,10-100M,Sheridan,WY,US
266,makosi.com,Makosi,501,201-500,10-100M,New York,NY,US
267,erinapp.com,ERIN,500,51-200,10-100M,Pittsburgh,PA,US
268,skilledtrades-services.com,Skilled Trades Services,500,51-200,10-100M,Brookfield,WI,US
269,creatingwhatwewant.com,Creating What We Want,499,11-50,1-10M,,UT,US
270,pandologic.com,"PandoLogic, Inc.",499,51-200,10-100M,Irvine,CA,US
271,testqtech.com,TESTQ Technologies LTD.,497,51-200,10-100M,Wilmington,DE,US
272,zelh.com,Zelh,496,201-500,10-100M,Fletcher,NC,US
273,workforce.org,San Diego Workforce Partnership,494,51-200,10-100M,San Diego,CA,US
274,hirevelocity.com,Hire Velocity,493,201-500,10-100M,Atlanta,GA,US
275,topechelon.com,Top Echelon,492,51-200,10-100M,Canton,OH,US
276,veriosolutions.com,Verio Solutions,491,11-50,1-10M,Albany,NY,US
277,hemptemps.com,Hemp Temps,491,51-200,10-100M,Foxfield,CO,US
278,crewmanning.bg,Crew Manning,491,11-50,1-10M,Бургас / Burgas,,BG
279,swissmonkey.io,Swiss Monkey,491,11-50,10-100M,Sacramento,CA,US
280,certifiedsource.com,Certified Source,490,51-200,100M-1B,Oklahoma City,OK,US
281,talktalent.com,TALK Community,490,51-200,10-100M,New York City,NY,US
282,zenbyte.net,ZenByte AI,490,11-50,1-10M,Tarrytown,NY,US
283,capartners.com,Compensation Advisory Partners,490,11-50,10-100M,Chicago,IL,US
284,personicsllc.com,Personics LLC,490,11-50,<1M,Herriman,UT,US
285,visage.jobs,Visage,489,51-200,10-100M,San Francisco,CA,US
286,on-ramps.com,On-Ramps,489,51-200,1-10M,New York,NY,US
287,smartways.io,Smartways,488,11-50,10-100M,Kraków,12,PL
288,ventureloop.com,VentureLoop,488,11-50,1-10M,Larkspur,CA,US
289,workspend.com,Workspend Inc.,486,51-200,10-100M,Las Vegas,NV,US
290,getboarded.com,Getboarded,485,11-50,1-10M,Maryna,CA,US
291,peopleforce.io,PeopleForce,485,51-200,10-100M,Київ,,UA
292,organimi.com,Organimi,485,11-50,1-10M,Chart,IN,US
293,distantjob.com,DistantJob,484,11-50,10-100M,Newark,DE,US
294,techfetch.com,Techfetch,484,51-200,10-100M,Claymont,DE,US
295,peopleconnectstaffing.com,PeopleConnect,483,11-50,10-100M,San Francisco,CA,US
296,virtualassistanttalent.com,Virtual Assistant Talent,483,51-200,10-100M,Fremont,CA,US
297,1stoprecruiting.com,One Stop Recruiting,483,51-200,10-100M,Sachse,TX,US
298,jobscore.com,JobScore,482,11-50,10-100M,San Francisco,CA,US
299,msgni.com,MSGNI BPO,482,51-200,10-100M,New York,NY,US
300,mystratis.com,Stratis,482,51-200,10-100M,Weston,FL,US
301,guild.im,GUILD,481,11-50,10-100M,Honolulu,HI,US
302,jobs77.com,Jobs77,480,11-50,1-10M,Job,,US
303,trendhr.com,TrendHR,480,11-50,10-100M,Rockwall,TX,US
304,sci.bio,Sci.bio,477,11-50,1-10M,Braintree,MA,US
305,savvynerds.com,Savvy Nerds Search,477,11-50,1-10M,Greensboro,NC,US
306,paradigmiq.com,Paradigm,477,51-200,10-100M,Palo Alto,CA,US
307,myspringpoint.com,SpringPoint Technologies,477,11-50,10-100M,Rogers,AR,US
308,isphere.net,iSphere,476,51-200,10-100M,Houston,TX,US
309,infolet.pl,Infolet sp. z o.o.,476,11-50,10-100M,Kraków,12,PL
310,soundingboardinc.com,Sounding Board Inc.,475,51-200,10-100M,Aliso Viejo,CA,US
311,networksfortraining.org,Networks for Training & Development,475,11-50,1-10M,Willow Grove,PA,US
312,ghrr.com,DISA Global Solutions,474,51-200,10-100M,Fort Myers,FL,US
313,clockworkrecruiting.com,Clockwork Recruiting,473,11-50,1-10M,Los Angeles,CA,US
314,mosaicpersonnel.com,Mosaic Personnel,473,11-50,1-10M,Oklahoma City,OK,US
315,peaktechnical.com,PEAK Technical Staffing Agency,473,201-500,100M-1B,Pittsburgh,PA,US
316,bcgsearch.com,BCG Attorney Search,472,201-500,10-100M,Pasadena,CA,US
317,benecon.com,Benecon,472,201-500,10-100M,Lititz,PA,US
318,remotual.com,Remotual,471,11-50,10-100M,Buffalo Grove,IL,US
319,antal.pl,Antal Sp. z o.o.,471,201-500,10-100M,Kraków,12,PL
320,brandspaycheck.com,Brand's Paycheck,471,11-50,10-100M,Brooklyn,NY,US
321,vaulthealth.com,Vault Workforce Screening,471,51-200,10-100M,Willow Grove,PA,US
322,smithandwilkinson.com,Smith & Wilkinson,470,11-50,10-100M,South Portland,ME,US
323,thehtgroup.com,The HT Group,470,201-500,10-100M,Austin,TX,US
324,futuremug.com,futuremug,470,51-200,10-100M,Alpharetta,GA,US
325,backgroundchecks.com,BackgroundChecks.com,470,51-200,10-100M,Nashville,TN,US
326,applicantpro.com,isolved Talent Acquisition,469,201-500,100M-1B,Salt Lake City,UT,US
327,talentpair.com,Talentpair,468,11-50,1-10M,Boise,ID,US
328,simplecallsolutions.com,Simple Call Solutions,468,11-50,10-100M,Manasquan,NJ,US
329,leadingwhatwewant.com,Leading What We Want,466,11-50,1-10M,Austin,UT,US
330,eesipeo.com,Professional Employer Organization,466,51-200,100M-1B,Houston,TX,US
331,eastsons.com,Eastsons,465,11-50,10-100M,White Plains,NY,US
332,deepersignals.com,Deeper Signals,465,11-50,1-10M,Brooklyn,NY,US
333,dresdenpartners.com,Dresden Partners,465,11-50,10-100M,Carlsbad,CA,US
334,astrea-bg.com,Astrea Recruitment,465,11-50,10-100M,Sofia,22,BG
335,apptad.com,Apptad,464,201-500,100M-1B,Alpharetta,GA,US
336,serviceskills.com,Service Skills,463,11-50,1-10M,Bridgeton,MO,US
337,501commons.org,501 Commons,463,51-200,10-100M,Seattle,WA,US
338,datafieldusa.com,DataField Technology Services,463,51-200,10-100M,Worthington,OH,US
339,hirextra.com,HireXtra,461,51-200,10-100M,Atlanta,GA,US
340,topgrading.com,Topgrading,460,11-50,1-10M,Lake Forest,IL,US
341,trakstar.com,Trakstar,460,11-50,10-100M,Seattle,WA,US
342,perrettlaver.com,Perrett Laver,460,51-200,10-100M,Chicago,IL,US
343,youdecide.com,YouDecide,460,51-200,10-100M,Glen Allen,VA,US
344,healthecareers.com,Health eCareers,459,51-200,10-100M,New York,NY,US
345,foxhire.com,FoxHire,459,51-200,10-100M,Canton,OH,US
346,agileleadershipjourney.com,Agile Leadership Journey,459,11-50,1-10M,Louisville,CO,US
347,worldatwork.org,WorldatWork,459,201-500,100M-1B,Scottsdale,AZ,US
348,20four7va.com,20four7VA,458,51-200,10-100M,Berlin,MD,US
349,iberissoftware.com,iBeris Software Solutions,458,11-50,10-100M,Parsippany,NJ,US
350,ito.bg,ITO.BG,457,11-50,1-10M,,,BG
351,powerspeaking.com,"PowerSpeaking, Inc.",457,11-50,1-10M,Redwood City,CA,US
352,hirewell.com,Hirewell,456,51-200,10-100M,Chicago,IL,US
353,recruitingtoolbox.com,Recruiting Toolbox,456,11-50,1-10M,Redmond,WA,US
354,payentry.com,Payentry,456,51-200,10-100M,Peachtree Corners,GA,US
355,recruitmentcoach.com,Recruitment Coach,455,11-50,1-10M,St Petersburg,FL,US
356,insynconline.net,"InSync Consulting Services, LLC",454,51-200,10-100M,Roseville,CA,US
