name,domain,segment
Aomni,aomni.com,AI SDR / AI Sales Agent
Apollo,apollo.io,B2B Data / Enrichment / Prospecting
Appcues,appcues.com,Other / General SaaS
Apptivo,apptivo.com,CRM / Sales Ops
Aptivio,aptivio.com,GTM Automation / Revenue Intelligence
Arcade,tryarcade.com,Other / General SaaS
Arloopa,arloopa.com,Other / General SaaS
Artesian,artesian.co,B2B Data / Enrichment / Prospecting
Artisan,artisan.co,AI SDR / AI Sales Agent
Attention,attention.com,Conversation Intelligence / Enablement
Attentive,attentive.com,Email Marketing / Marketing Automation
Attio,attio.com,CRM / Sales Ops
Autobound,autobound.ai,Cold Email Platform
Autoklose,autoklose.com,Cold Email Platform
Autopilot,autopilothq.com,Email Marketing / Marketing Automation
Autoreach,autoreach.io,Cold Email Platform
Aviso,aviso.ai,GTM Automation / Revenue Intelligence
Avoma,avoma.com,Conversation Intelligence / Enablement
Aware,aware.ai,Other / General SaaS
Axolo,axolo.co,Other / General SaaS
Azumo,azumo.com,Other / General SaaS
B2Brain,b2brain.com,B2B Data / Enrichment / Prospecting
BHuman,bhuman.ai,AI SDR / AI Sales Agent
Balto,balto.ai,Conversation Intelligence / Enablement
Bamboo HR,bamboohr.com,Other / General SaaS
Bandwidth,bandwidth.com,Other / General SaaS
Bardeen,bardeen.ai,GTM Automation / Revenue Intelligence
Bat Signals,batsignals.io,GTM Automation / Revenue Intelligence
Beanbag AI,beanbag.ai,AI SDR / AI Sales Agent
Beenion,beenion.com,Other / General SaaS
Benchmark Email,benchmarkemail.com,Email Marketing / Marketing Automation
BenchmarkONE,benchmarkone.com,Email Marketing / Marketing Automation
BetterContact,bettercontact.rocks,B2B Data / Enrichment / Prospecting
BetterProposals,betterproposals.io,Other / General SaaS
Bigtincan,bigtincan.com,Conversation Intelligence / Enablement
Billionverify,billionverify.com,Email Infrastructure / Warmup
Bindago,bindago.com,Other / General SaaS
Bindbee,bindbee.io,Other / General SaaS
Bitrix24,bitrix24.com,CRM / Sales Ops
Bloobirds,bloobirds.com,Sales Engagement Platform
Bloomreach,bloomreach.com,Email Marketing / Marketing Automation
BlueJeans,bluejeans.com,Other / General SaaS
Blueshift,blueshift.com,Email Marketing / Marketing Automation
BombBomb,bombbomb.com,Sales Engagement Platform
Bombora,bombora.com,GTM Automation / Revenue Intelligence
Bonjoro,bonjoro.com,Sales Engagement Platform
BookYourData,bookyourdata.com,B2B Data / Enrichment / Prospecting
Boomerang,boomeranggmail.com,Cold Email Platform
Boomerang AI,boomerangai.com,AI SDR / AI Sales Agent
Botdog,botdog.co,LinkedIn Automation
Bouncer,usebouncer.com,Email Infrastructure / Warmup
Bouncify,bouncify.in,Email Infrastructure / Warmup
Bounti,bounti.ai,AI SDR / AI Sales Agent
Brainshark,brainshark.com,Conversation Intelligence / Enablement
Braze,braze.com,Email Marketing / Marketing Automation
Breakcold,breakcold.com,Sales Engagement Platform
Breakout AI,getbreakout.ai,AI SDR / AI Sales Agent
Brevo,brevo.com,Email Marketing / Marketing Automation
BrightEdge,brightedge.com,Other / General SaaS
BriteVerify,briteverify.com,Email Infrastructure / Warmup
BuiltWith,builtwith.com,B2B Data / Enrichment / Prospecting
BuyerAssist,buyerassist.io,Sales Engagement Platform
BuyerGenomics,buyergenomics.com,GTM Automation / Revenue Intelligence
BuzzStream,buzzstream.com,Cold Email Platform
Byrd.ai,byrd.ai,AI SDR / AI Sales Agent
CANDDi,canddi.com,GTM Automation / Revenue Intelligence
Cal.com,cal.com,Other / General SaaS
CalendarHero,calendarhero.com,Other / General SaaS
Calendly,calendly.com,Other / General SaaS
Callbox,callboxinc.com,AI SDR / AI Sales Agent
Cameo for Business,cameo.com,Other / General SaaS
Campaign Monitor,campaignmonitor.com,Email Marketing / Marketing Automation
Canvas,canvas.so,Other / General SaaS
Capango,capango.com,Other / General SaaS
Capsule CRM,capsulecrm.com,CRM / Sales Ops
CaptainData,captaindata.com,B2B Data / Enrichment / Prospecting
Capterra,capterra.com,Other / General SaaS
CaptivateIQ,captivateiq.com,CRM / Sales Ops
Catchr,catchr.io,Other / General SaaS
Cavelo,cavelo.com,Other / General SaaS
Channels,channels.app,Other / General SaaS
Charphar,charphar.com,Other / General SaaS
Chatra,chatra.io,Other / General SaaS
Chili Piper,chilipiper.com,Sales Engagement Platform
Chorus by ZoomInfo,zoominfo.com,Conversation Intelligence / Enablement
Chorus.ai,chorus.ai,Conversation Intelligence / Enablement
Cirrus Insight,cirrusinsight.com,Sales Engagement Platform
CiviCRM,civicrm.org,CRM / Sales Ops
Clari,clari.com,GTM Automation / Revenue Intelligence
Clay,clay.com,B2B Data / Enrichment / Prospecting
Cleanlist,cleanlist.ai,Email Infrastructure / Warmup
Clearbase,clearbase.co,B2B Data / Enrichment / Prospecting
Clearbit,clearbit.com,B2B Data / Enrichment / Prospecting
Clearco,clearco.com,Other / General SaaS
Clearout,clearout.io,Email Infrastructure / Warmup
Cleve.ai,cleve.ai,AI SDR / AI Sales Agent
Clevenio,clevenio.com,Sales Engagement Platform
CleverTap,clevertap.com,Email Marketing / Marketing Automation
Cleverly,cleverly.co,LinkedIn Automation
ClickFunnels,clickfunnels.com,Other / General SaaS
ClickMeeting,clickmeeting.com,Other / General SaaS
Clipchamp,clipchamp.com,Other / General SaaS
Close,close.com,CRM / Sales Ops
Closely,closelyhq.com,LinkedIn Automation
CloudTalk,cloudtalk.io,Other / General SaaS
Cloudlead,cloudlead.co,B2B Data / Enrichment / Prospecting
Clout9,clout9.io,Cold Email Platform
Cloze,cloze.com,CRM / Sales Ops
Coach,coach.so,Other / General SaaS
Coefficients,coefficients.io,Other / General SaaS
CogniSaaS,cognisaas.com,Other / General SaaS
Cognism,cognism.com,B2B Data / Enrichment / Prospecting
ColdEmailKit,coldemailkit.com,Cold Email Platform
ColdIQ,coldiq.com,Cold Email Platform
Coldreach,coldreach.ai,AI SDR / AI Sales Agent
Comm100,comm100.com,Other / General SaaS
CommandBar,commandbar.com,Other / General SaaS
Commence CRM,commencecrm.com,CRM / Sales Ops
Commissionly,commissionly.io,CRM / Sales Ops
Common Room,commonroom.io,GTM Automation / Revenue Intelligence
Commsor,commsor.com,GTM Automation / Revenue Intelligence
Composio,composio.dev,Other / General SaaS
ConnectAndSell,connectandsell.com,Sales Engagement Platform
Conquer,conquer.io,Sales Engagement Platform
Constant Contact,constantcontact.com,Email Marketing / Marketing Automation
ContactOut,contactout.com,B2B Data / Enrichment / Prospecting
Contour,contour.so,Other / General SaaS
Conversica,conversica.com,AI SDR / AI Sales Agent
ConvertKit,convertkit.com,Email Marketing / Marketing Automation
ConvertPro,convertpro.net,Other / General SaaS
Convertri,convertri.com,Other / General SaaS
Convoso,convoso.com,Sales Engagement Platform
Copper,copper.com,CRM / Sales Ops
Copy.ai,copy.ai,Other / General SaaS
Cortex,meetcortex.com,GTM Automation / Revenue Intelligence
Coupler.io,coupler.io,Other / General SaaS
Covideo,covideo.com,Sales Engagement Platform
Craft CMS,craftcms.com,Other / General SaaS
Crayon,crayon.co,GTM Automation / Revenue Intelligence
Crazy Egg,crazyegg.com,Other / General SaaS
Creatio,creatio.com,CRM / Sales Ops
Crono,crono.one,Sales Engagement Platform
Cronofy,cronofy.com,Other / General SaaS
Crossbeam,crossbeam.com,GTM Automation / Revenue Intelligence
Cursive,meetcursive.com,Cold Email Platform
Cuspera,cuspera.com,Other / General SaaS
Customer.io,customer.io,Email Marketing / Marketing Automation
CustomerAI,customerai.com,AI SDR / AI Sales Agent
Cyance,cyance.com,GTM Automation / Revenue Intelligence
Cykel AI,cykel.ai,AI SDR / AI Sales Agent
D&B Hoovers,hoovers.com,B2B Data / Enrichment / Prospecting
D3,d3security.com,Other / General SaaS
Dashly,dashly.io,Other / General SaaS
DataNumen,datanumen.com,Other / General SaaS
Databox,databox.com,Other / General SaaS
Datagrid,datagrid.ai,B2B Data / Enrichment / Prospecting
Datanyze,datanyze.com,B2B Data / Enrichment / Prospecting
Dataticks,dataticks.com,Email Marketing / Marketing Automation
Daylite,marketcircle.com,CRM / Sales Ops
DealPoint,dealpoint.io,Sales Engagement Platform
DealRoom,dealroom.net,Other / General SaaS
Dealfront,dealfront.com,GTM Automation / Revenue Intelligence
Deanno,deanno.io,Cold Email Platform
Debounce,debounce.io,Email Infrastructure / Warmup
Dedupely,dedupely.com,CRM / Sales Ops
Deep CRM,deepcrm.io,CRM / Sales Ops
Default,default.com,GTM Automation / Revenue Intelligence
DemandStar,demandstar.com,Other / General SaaS
Demandbase,demandbase.com,GTM Automation / Revenue Intelligence
Demisto,demisto.com,Other / General SaaS
Demoboost,demoboost.com,Sales Engagement Platform
Demodesk,demodesk.com,Conversation Intelligence / Enablement
Derrick App,derrick-app.com,B2B Data / Enrichment / Prospecting
Diabolocom,diabolocom.com,Other / General SaaS
Dialed,dialedio.com,Sales Engagement Platform
Dialpad Meetings,dialpad.com,Other / General SaaS
Dialworks,dialworks.in,Sales Engagement Platform
Disco,disco.co,Other / General SaaS
Distill.io,distill.io,Other / General SaaS
DitLead,ditlead.com,Cold Email Platform
Dmarcian,dmarcian.com,Email Infrastructure / Warmup
Dock,dock.us,Sales Engagement Platform
Docket,docket.io,Other / General SaaS
Doodle,doodle.com,Other / General SaaS
Dooly,dooly.ai,CRM / Sales Ops
Dotdigital,dotdigital.com,Email Marketing / Marketing Automation
Drift Clone,drift.com,GTM Automation / Revenue Intelligence
Drip,drip.com,Email Marketing / Marketing Automation
Dripify,dripify.com,LinkedIn Automation
Drips,drips.com,Cold Email Platform
Dropcontact,dropcontact.com,B2B Data / Enrichment / Prospecting
Dryrun,dryrun.com,Other / General SaaS
Dub.co,dub.co,Other / General SaaS
Dubb,dubb.com,Sales Engagement Platform
Duel,duel.tech,Other / General SaaS
Dun & Bradstreet,dnb.com,B2B Data / Enrichment / Prospecting
Dux-Soup,dux-soup.com,LinkedIn Automation
Dynamic Yield,dynamicyield.com,Email Marketing / Marketing Automation
EasyDMARC,easydmarc.com,Email Infrastructure / Warmup
EasySend,easysend.io,Other / General SaaS
Ebsta,ebsta.com,Sales Engagement Platform
EcoSend,ecosend.io,Email Marketing / Marketing Automation
Edcast,edcast.com,Other / General SaaS
Eger.io,eger.io,Other / General SaaS
Elastic Email,elasticemail.com,Email Infrastructure / Warmup
ElevateSales,elevatesales.io,Sales Engagement Platform
Eligeo,eligeo.com,Other / General SaaS
Eloqua,oracle.com,Email Marketing / Marketing Automation
Ema SDR,ema.ai,AI SDR / AI Sales Agent
Email Octopus,emailoctopus.com,Email Marketing / Marketing Automation
EmailBison,emailbison.com,Cold Email Platform
EmailListVerify,emaillistverify.com,Email Infrastructure / Warmup
Emarsys,emarsys.com,Email Marketing / Marketing Automation
Emelia,emelia.io,Cold Email Platform
Emissary,emissary.io,Sales Engagement Platform
Emma,myemma.com,Email Marketing / Marketing Automation
Enablement,enablement.com,Conversation Intelligence / Enablement
Enablix,enablix.com,Conversation Intelligence / Enablement
EngageBay,engagebay.com,CRM / Sales Ops
Enlyft,enlyft.com,B2B Data / Enrichment / Prospecting
Enrich.so,enrich.so,B2B Data / Enrichment / Prospecting
EnrichHQ,enrichhq.com,B2B Data / Enrichment / Prospecting
Enthu AI,enthu.ai,Conversation Intelligence / Enablement
Episerver,episerver.com,Email Marketing / Marketing Automation
Equilend,equilend.com,Other / General SaaS
Evaboot,evaboot.com,LinkedIn Automation
Exact Sales,exactsales.com.br,Sales Engagement Platform
Exceed AI,exceed.ai,AI SDR / AI Sales Agent
ExecVision,execvision.io,Conversation Intelligence / Enablement
Expandi,expandi.io,LinkedIn Automation
ExpertSender,expertsender.com,Email Marketing / Marketing Automation
Explainit,explainit.ai,Other / General SaaS
Extruct AI,extruct.ai,B2B Data / Enrichment / Prospecting
EzTexting,eztexting.com,Other / General SaaS
FarBridge,farbridge.com,Other / General SaaS
Fathom,fathom.video,Conversation Intelligence / Enablement
Fello AI,fello.ai,AI SDR / AI Sales Agent
Fermion,fermion.io,Other / General SaaS
FetchRSS,fetchrss.com,Other / General SaaS
Fiber AI,fiber.ai,AI SDR / AI Sales Agent
Fibery,fibery.io,Other / General SaaS
FinalScout,finalscout.com,B2B Data / Enrichment / Prospecting
FindThatLead,findthatlead.com,B2B Data / Enrichment / Prospecting
Findymail,findymail.com,B2B Data / Enrichment / Prospecting
Fireflies,fireflies.ai,Conversation Intelligence / Enablement
Five9,five9.com,Other / General SaaS
Fivetran,fivetran.com,Other / General SaaS
Flapper,flapper.ai,AI SDR / AI Sales Agent
Flexibits,flexibits.com,Other / General SaaS
Flodesk,flodesk.com,Email Marketing / Marketing Automation
FlowTalk,flowtalk.io,Sales Engagement Platform
Flowworks,flowworks.com,Other / General SaaS
Folderly,folderly.com,Email Infrastructure / Warmup
Folk,folk.app,CRM / Sales Ops
Folloze,folloze.com,Sales Engagement Platform
Fonvirtual,fonvirtual.com,Other / General SaaS
Freshdesk,freshdesk.com,Other / General SaaS
Freshsales,freshsales.com,CRM / Sales Ops
Freshworks CRM,freshworks.com,CRM / Sales Ops
Frictionless,frictionless.io,GTM Automation / Revenue Intelligence
Frontapp,frontapp.com,Other / General SaaS
Full Circle Insights,fullcircleinsights.com,GTM Automation / Revenue Intelligence
FullContact,fullcontact.com,B2B Data / Enrichment / Prospecting
FullEnrich,fullenrich.com,B2B Data / Enrichment / Prospecting
FullStory,fullstory.com,Other / General SaaS
Funnel.io,funnel.io,GTM Automation / Revenue Intelligence
FunnelAmplified,funnelamplified.com,Sales Engagement Platform
FunnelKit,funnelkit.com,Email Marketing / Marketing Automation
Funnelytics,funnelytics.io,GTM Automation / Revenue Intelligence
G2 Track,g2.com,GTM Automation / Revenue Intelligence
GMass,gmass.co,Cold Email Platform
GTM Buddy,gtmbuddy.ai,Conversation Intelligence / Enablement
Galadon,galadon.com,AI SDR / AI Sales Agent
Gartner Digital Markets,gartner.com,Other / General SaaS
Gauss,gauss.io,Other / General SaaS
Generac,generac.com,Other / General SaaS
Genesy AI,genesy.ai,AI SDR / AI Sales Agent
Genesys,genesys.com,Other / General SaaS
GeniusAI,geniusai.com,AI SDR / AI Sales Agent
GetAccept,getaccept.com,Sales Engagement Platform
GetProspect,getprospect.io,B2B Data / Enrichment / Prospecting
GetReplies,getreplies.ai,Cold Email Platform
GetResponse,getresponse.com,Email Marketing / Marketing Automation
Getsitecontrol,getsitecontrol.com,Other / General SaaS
Giftbit,giftbit.com,Other / General SaaS
Gladly,gladly.com,Other / General SaaS
Glean,glean.com,Other / General SaaS
GlockApps,glockapps.com,Email Infrastructure / Warmup
GlowTouch,glowtouch.com,Other / General SaaS
GoHighLevel,gohighlevel.com,CRM / Sales Ops
GoToMeeting,goto.com,Other / General SaaS
GoUNISON,gounison.com,Other / General SaaS
GoldMine,goldmine.com,CRM / Sales Ops
Gong,gong.io,Conversation Intelligence / Enablement
GoodFit,goodfit.io,B2B Data / Enrichment / Prospecting
GoodTime,goodtime.io,Other / General SaaS
Google Meet,meet.google.com,Other / General SaaS
Gorgias,gorgias.com,Other / General SaaS
Grain,grain.com,Conversation Intelligence / Enablement
Granify,granify.com,GTM Automation / Revenue Intelligence
Grape Leads,grapeleads.com,B2B Data / Enrichment / Prospecting
GreenRope,greenrope.com,CRM / Sales Ops
Grid,grid.is,Other / General SaaS
Groove,groove.co,Sales Engagement Platform
Groove HQ,groovehq.com,Other / General SaaS
Groundhogg,groundhogg.io,Email Marketing / Marketing Automation
Growbots,growbots.com,Cold Email Platform
Growlabs,growlabs.com,B2B Data / Enrichment / Prospecting
GrowthGenius,growthgenius.com,Cold Email Platform
GrowthOS,growthos.io,Sales Engagement Platform
Growthbound,growthbound.ai,GTM Automation / Revenue Intelligence
Guidde,guidde.com,Other / General SaaS
Guideflow,guideflow.com,Other / General SaaS
Guru,getguru.com,Conversation Intelligence / Enablement
H.ai,h.ai,AI SDR / AI Sales Agent
HG Insights,hginsights.com,B2B Data / Enrichment / Prospecting
Hatch,usehatchapp.com,Cold Email Platform
Hatchbuck,hatchbuck.com,Email Marketing / Marketing Automation
Heap Analytics,heap.io,Other / General SaaS
Hello Bar,hellobar.com,Other / General SaaS
HelpScout,helpscout.com,Other / General SaaS
Helpwise,helpwise.io,Other / General SaaS
HeroBase,herobase.ai,AI SDR / AI Sales Agent
HeyReach,heyreach.io,LinkedIn Automation
HeySam,heysam.ai,AI SDR / AI Sales Agent
Heysid,heysid.com,Other / General SaaS
HigherLogic,higherlogic.com,Other / General SaaS
Highspot,highspot.com,Conversation Intelligence / Enablement
Hightouch,hightouch.com,B2B Data / Enrichment / Prospecting
Hippo Video,hippovideo.io,Sales Engagement Platform
HireEZ,hireez.com,B2B Data / Enrichment / Prospecting
Hiver,hiverhq.com,Other / General SaaS
Hoopla,hoopla.ai,CRM / Sales Ops
Hoppy Copy,hoppycopy.co,Other / General SaaS
Hotjar,hotjar.com,Other / General SaaS
HubSpot Email,hubspot.com,CRM / Sales Ops
Humanlinker,humanlinker.com,AI SDR / AI Sales Agent
Hunter.io,hunter.io,B2B Data / Enrichment / Prospecting
Hushly,hushly.com,GTM Automation / Revenue Intelligence
Hyperbound,hyperbound.ai,Conversation Intelligence / Enablement
Hyperclapper,hyperclapper.com,LinkedIn Automation
Hypergen,hypergen.io,Cold Email Platform
Hyperise,hyperise.com,Cold Email Platform
Hypertxt,hypertxt.ai,Cold Email Platform
Hyros,hyros.com,GTM Automation / Revenue Intelligence
Identyx,identyx.io,GTM Automation / Revenue Intelligence
Improvado,improvado.io,GTM Automation / Revenue Intelligence
InMoment,inmoment.com,Other / General SaaS
InboxAlly,inboxally.com,Email Infrastructure / Warmup
InboxKit,inboxkit.com,Email Infrastructure / Warmup
Inboxroad,inboxroad.com,Email Infrastructure / Warmup
Infer,infer.com,GTM Automation / Revenue Intelligence
InfiniteAI,infinite.ai,AI SDR / AI Sales Agent
Influ2,influ2.com,GTM Automation / Revenue Intelligence
InfoClutch,infoclutch.com,B2B Data / Enrichment / Prospecting
Informed.co,informed.co,Other / General SaaS
Infotelligent,infotelligent.com,B2B Data / Enrichment / Prospecting
Inframail,inframail.com,Email Infrastructure / Warmup
Insider,useinsider.com,Email Marketing / Marketing Automation
Insightly,insightly.com,CRM / Sales Ops
Instantly,instantly.ai,Cold Email Platform
Instapage,instapage.com,Other / General SaaS
Intellimize,intellimize.com,GTM Automation / Revenue Intelligence
IntentData.io,intentdata.io,GTM Automation / Revenue Intelligence
Intentsify,intentsify.io,GTM Automation / Revenue Intelligence
Intercom,intercom.com,Other / General SaaS
Interseller,interseller.io,Cold Email Platform
Invoca,invoca.com,GTM Automation / Revenue Intelligence
IronScales,ironscales.com,Other / General SaaS
Iterable,iterable.com,Email Marketing / Marketing Automation
Jarvis,usejarvish.com,AI SDR / AI Sales Agent
Jasper,jasper.ai,Other / General SaaS
Javelin,javelinpm.com,Other / General SaaS
Javos,javos.ai,AI SDR / AI Sales Agent
Jeeva AI,jeeva.ai,AI SDR / AI Sales Agent
Jiminny,jiminny.com,Conversation Intelligence / Enablement
Jitsi,jitsi.org,Other / General SaaS
Jobin.cloud,jobin.cloud,LinkedIn Automation
Join.me,join.me,Other / General SaaS
Journy.io,journy.io,GTM Automation / Revenue Intelligence
JustCall,justcall.io,Sales Engagement Platform
Justuno,justuno.com,Other / General SaaS
Kargo,kargo.com,Other / General SaaS
Kartra,kartra.com,Email Marketing / Marketing Automation
Kaspr,kaspr.io,B2B Data / Enrichment / Prospecting
Keap (Infusionsoft),keap.com,CRM / Sales Ops
Kenda,kenda.ai,AI SDR / AI Sales Agent
KendoAI,kendo.ai,B2B Data / Enrichment / Prospecting
Keyplay,keyplay.io,B2B Data / Enrichment / Prospecting
Kickbox,kickbox.com,Email Infrastructure / Warmup
Kilter,kilter.app,Other / General SaaS
Kixie,kixie.com,Sales Engagement Platform
Klaviyo,klaviyo.com,Email Marketing / Marketing Automation
Klear,klear.com,Other / General SaaS
Klenty,klenty.com,Cold Email Platform
Klue,klue.com,GTM Automation / Revenue Intelligence
Knock AI,knock-ai.com,AI SDR / AI Sales Agent
Koala,getkoala.com,GTM Automation / Revenue Intelligence
Kompyte,kompyte.com,GTM Automation / Revenue Intelligence
Koncert,koncert.ai,Sales Engagement Platform
Kore.ai,kore.ai,AI SDR / AI Sales Agent
Kronologic,kronologic.com,AI SDR / AI Sales Agent
Kudoboard,kudoboard.com,Other / General SaaS
Kustomer,kustomer.com,CRM / Sales Ops
La Growth Machine,lagrowthmachine.com,LinkedIn Automation
Labeeb,labeeb.io,AI SDR / AI Sales Agent
Landbase,landbase.com,AI SDR / AI Sales Agent
Lark,larksuite.com,Other / General SaaS
Lavender,lavender.ai,Cold Email Platform
Lazer AI,lazer.ai,AI SDR / AI Sales Agent
Lead Assign,leadassign.com,Sales Engagement Platform
Lead Forensics,leadforensics.com,GTM Automation / Revenue Intelligence
Lead Liaison,leadliaison.com,GTM Automation / Revenue Intelligence
Lead411,lead411.com,B2B Data / Enrichment / Prospecting
LeadBoxer,leadboxer.com,GTM Automation / Revenue Intelligence
LeadChampion,leadchampion.co,Cold Email Platform
LeadConduit,leadconduit.com,GTM Automation / Revenue Intelligence
LeadExperts,leadexperts.com,B2B Data / Enrichment / Prospecting
LeadFuze,leadfuze.com,B2B Data / Enrichment / Prospecting
LeadGenius,leadgenius.com,B2B Data / Enrichment / Prospecting
LeadGibbon,leadgibbon.com,B2B Data / Enrichment / Prospecting
LeadHaste,leadhaste.com,Cold Email Platform
LeadIQ,leadiq.com,B2B Data / Enrichment / Prospecting
LeadMagic,leadmagic.io,B2B Data / Enrichment / Prospecting
LeadMine,leadmine.io,B2B Data / Enrichment / Prospecting
LeadRev,leadrev.ai,AI SDR / AI Sales Agent
LeadSift,leadsift.com,GTM Automation / Revenue Intelligence
Leadbeam,leadbeam.ai,B2B Data / Enrichment / Prospecting
Leadfeeder,leadfeeder.com,GTM Automation / Revenue Intelligence
Leadgenerator.io,leadgenerator.io,B2B Data / Enrichment / Prospecting
Leadinfo,leadinfo.com,GTM Automation / Revenue Intelligence
Leadoo,leadoo.com,GTM Automation / Revenue Intelligence
Leadpages,leadpages.com,Other / General SaaS
Leadpipe,leadpipe.com,B2B Data / Enrichment / Prospecting
LeadsBridge,leadsbridge.com,GTM Automation / Revenue Intelligence
LeadsGorilla,leadsgorilla.io,B2B Data / Enrichment / Prospecting
Leadsforce,leadsforce.io,B2B Data / Enrichment / Prospecting
Leadspicker,leadspicker.com,B2B Data / Enrichment / Prospecting
Leadsquared,leadsquared.com,CRM / Sales Ops
Leadswift,leadswift.com,B2B Data / Enrichment / Prospecting
Leadzen.ai,leadzen.ai,B2B Data / Enrichment / Prospecting
Leanplum,leanplum.com,Email Marketing / Marketing Automation
Leapsome,leapsome.com,Other / General SaaS
Lemlist,lemlist.com,Cold Email Platform
Lempod,lempod.com,LinkedIn Automation
Lemwarm,lemwarm.com,Email Infrastructure / Warmup
Less Annoying CRM,lessannoyingcrm.com,CRM / Sales Ops
Lessonly,lessonly.com,Conversation Intelligence / Enablement
LetsConnect,letsconnect.com,LinkedIn Automation
LevelEleven,leveleleven.com,CRM / Sales Ops
LevelJump,leveljump.com,Conversation Intelligence / Enablement
LevelPath,levelpath.com,Other / General SaaS
Lifesize,lifesize.com,Other / General SaaS
Lindy,lindy.ai,AI SDR / AI Sales Agent
LinkedIn Sales Navigator,business.linkedin.com,B2B Data / Enrichment / Prospecting
ListKit,listkit.io,B2B Data / Enrichment / Prospecting
ListMonk,listmonk.app,Email Marketing / Marketing Automation
Listnr,listnr.com,Other / General SaaS
LiveChat,livechat.com,Other / General SaaS
Liveform,liveform.ai,Other / General SaaS
Loom,loom.com,Other / General SaaS
Loop,loopreceipts.com,Other / General SaaS
Loop Returns,loopreturns.com,Other / General SaaS
Lucid Meetings,lucidmeetings.com,Other / General SaaS
Lucky Orange,luckyorange.com,Other / General SaaS
Luru,luru.app,CRM / Sales Ops
Lusha,lusha.com,B2B Data / Enrichment / Prospecting
Lyne,lyne.ai,Cold Email Platform
Lyzr AI,lyzr.ai,AI SDR / AI Sales Agent
MXToolbox,mxtoolbox.com,Email Infrastructure / Warmup
Machina Labs,machinelabs.ai,AI SDR / AI Sales Agent
MailPoet,mailpoet.com,Email Marketing / Marketing Automation
MailTag,mailtag.io,Cold Email Platform
Mailchimp,mailchimp.com,Email Marketing / Marketing Automation
MailerCheck,mailercheck.com,Email Infrastructure / Warmup
MailerLite,mailerlite.com,Email Marketing / Marketing Automation
MailerSend,mailersend.com,Email Infrastructure / Warmup
Mailforge,mailforge.ai,Email Infrastructure / Warmup
Mailgenius,mailgenius.com,Email Infrastructure / Warmup
Mailgun,mailgun.com,Email Infrastructure / Warmup
Mailivery,mailivery.io,Email Infrastructure / Warmup
Mailjet,mailjet.com,Email Infrastructure / Warmup
Mailmend,mailmend.io,Email Infrastructure / Warmup
Mailmeteor,mailmeteor.com,Cold Email Platform
Mailreach,mailreach.co,Email Infrastructure / Warmup
Mailshake,mailshake.com,Cold Email Platform
Mailwarm,mailwarm.io,Email Infrastructure / Warmup
Mailwizz,mailwizz.com,Email Marketing / Marketing Automation
Make (Integromat),make.com,Other / General SaaS
MakeReply,makereply.com,Cold Email Platform
ManyReach,manyreach.com,Cold Email Platform
Manychat,manychat.com,Other / General SaaS
