name,domain,segment
Mailmeteor,mailmeteor.com,Cold Email Platform
Mailshake,mailshake.com,Cold Email Platform
MakeReply,makereply.com,Cold Email Platform
ManyReach,manyreach.com,Cold Email Platform
Mystrika,mystrika.com,Cold Email Platform
Ninja Outreach,ninjaoutreach.com,Cold Email Platform
Noisy,noisy.ai,Cold Email Platform
Nureply,nureply.com,Cold Email Platform
Openers,openers.io,Cold Email Platform
Outbound Sales Pro,outboundsalespro.com,Cold Email Platform
Outboundly,outboundly.com,Cold Email Platform
Outdoo,outdoo.ai,Cold Email Platform
OutreachBin,outreachbin.com,Cold Email Platform
Outreachly,outreachly.com,Cold Email Platform
PersistIQ,persistiq.com,Cold Email Platform
Pitchbox,pitchbox.com,Cold Email Platform
Plusvibe,plusvibe.ai,Cold Email Platform
Postaga,postaga.com,Cold Email Platform
Puzzle Inbox,puzzleinbox.com,Cold Email Platform
QuickMail,quickmail.com,Cold Email Platform
Quicklines,quicklines.ai,Cold Email Platform
ReachInbox,reachinbox.ai,Cold Email Platform
Regie AI,regie.ai,Cold Email Platform
Reply.io,reply.io,Cold Email Platform
Respona,respona.com,Cold Email Platform
SBL.so,sbl.so,Cold Email Platform
SalesHive,saleshive.com,Cold Email Platform
Salesblink,salesblink.io,Cold Email Platform
Salesforge,salesforge.ai,Cold Email Platform
Saleshandy,saleshandy.com,Cold Email Platform
SalesTalk,salestalk.ai,Cold Email Platform
Sendr,sendr.ai,Cold Email Platform
Smartbound,smartbound.io,Cold Email Platform
Smartlead,smartlead.ai,Cold Email Platform
SmartReach,smartreach.io,Cold Email Platform
SmartWriter,smartwriter.ai,Cold Email Platform
Snov.io,snov.io,Cold Email Platform
Sopro,sopro.io,Cold Email Platform
SuperSend,supersend.io,Cold Email Platform
Throxy,throxy.com,Cold Email Platform
Twain,twain.so,Cold Email Platform
Vocus.io,vocus.io,Cold Email Platform
Woodpecker,woodpecker.co,Cold Email Platform
Yesware,yesware.com,Cold Email Platform
Zaplify,zaplify.com,Cold Email Platform
SalesTarget,salestarget.ai,Cold Email Platform
Success.ai,success.ai,Cold Email Platform
Overloop,overloop.com,Cold Email Platform
Amplemarket,amplemarket.com,Sales Engagement Platform
Aligned,aligned.io,Sales Engagement Platform
Bloobirds,bloobirds.com,Sales Engagement Platform
BombBomb,bombbomb.com,Sales Engagement Platform
Bonjoro,bonjoro.com,Sales Engagement Platform
Breakcold,breakcold.com,Sales Engagement Platform
Chili Piper,chilipiper.com,Sales Engagement Platform
Cirrus Insight,cirrusinsight.com,Sales Engagement Platform
Clevenio,clevenio.com,Sales Engagement Platform
ConnectAndSell,connectandsell.com,Sales Engagement Platform
Conquer,conquer.io,Sales Engagement Platform
Convoso,convoso.com,Sales Engagement Platform
Covideo,covideo.com,Sales Engagement Platform
Crono,crono.one,Sales Engagement Platform
DealPoint,dealpoint.io,Sales Engagement Platform
Demoboost,demoboost.com,Sales Engagement Platform
Dialed,dialedio.com,Sales Engagement Platform
Dialworks,dialworks.in,Sales Engagement Platform
Dock,dock.us,Sales Engagement Platform
Dubb,dubb.com,Sales Engagement Platform
Ebsta,ebsta.com,Sales Engagement Platform
ElevateSales,elevatesales.io,Sales Engagement Platform
Emissary,emissary.io,Sales Engagement Platform
Exact Sales,exactsales.com.br,Sales Engagement Platform
FlowTalk,flowtalk.io,Sales Engagement Platform
Folloze,folloze.com,Sales Engagement Platform
FunnelAmplified,funnelamplified.com,Sales Engagement Platform
GetAccept,getaccept.com,Sales Engagement Platform
Groove,groove.co,Sales Engagement Platform
GrowthOS,growthos.io,Sales Engagement Platform
Hippo Video,hippovideo.io,Sales Engagement Platform
JustCall,justcall.io,Sales Engagement Platform
Kixie,kixie.com,Sales Engagement Platform
Klenty,klenty.com,Sales Engagement Platform
Koncert,koncert.ai,Sales Engagement Platform
Lead Assign,leadassign.com,Sales Engagement Platform
MaxContact,maxcontact.co.uk,Sales Engagement Platform
Mixmax,mixmax.com,Sales Engagement Platform
Naro,usenaro.com,Sales Engagement Platform
Natterbox,natterbox.com,Sales Engagement Platform
Nooks,nooks.ai,Sales Engagement Platform
Omedym,omedym.com,Sales Engagement Platform
OneMob,onemob.com,Sales Engagement Platform
Orum,orum.io,Sales Engagement Platform
Outplay,outplayhq.com,Sales Engagement Platform
Outreach,outreach.io,Sales Engagement Platform
Overloop,overloop.com,Sales Engagement Platform
PFL,pfl.com,Sales Engagement Platform
Postal,postal.io,Sales Engagement Platform
PowerDialer AI,powerdialer.ai,Sales Engagement Platform
Rampd,rampd.io,Sales Engagement Platform
ReachDesk,reachdesk.com,Sales Engagement Platform
Revenue Grid,revenuegrid.com,Sales Engagement Platform
Revenue.io,revenue.io,Sales Engagement Platform
Rhythmsales,rhythmsales.com,Sales Engagement Platform
RingDNA,ringdna.com,Sales Engagement Platform
SPOTIO,spotio.com,Sales Engagement Platform
Salesfinity,salesfinity.com,Sales Engagement Platform
Salesgear,salesgear.io,Sales Engagement Platform
Salesloft,salesloft.com,Sales Engagement Platform
Salesmsg,salesmsg.com,Sales Engagement Platform
Salesvid,salesvid.com,Sales Engagement Platform
Sendoso,sendoso.com,Sales Engagement Platform
Sendspark,sendspark.com,Sales Engagement Platform
SmartReach,smartreach.io,Sales Engagement Platform
Storylane,storylane.io,Sales Engagement Platform
Touchpoint,thetouchpoint.io,Sales Engagement Platform
Tourial,tourial.com,Sales Engagement Platform
Trellus,trellus.ai,Sales Engagement Platform
Trumpet,sendtrumpet.com,Sales Engagement Platform
VanillaSoft,vanillasoft.com,Sales Engagement Platform
Vidyard,vidyard.com,Sales Engagement Platform
VipeCloud,vipecloud.com,Sales Engagement Platform
VoiceSpin,voicespin.com,Sales Engagement Platform
Walnut,walnut.io,Sales Engagement Platform
La Growth Machine,lagrowthmachine.com,Multichannel Outreach (Email + LinkedIn)
Waalaxy,waalaxy.com,Multichannel Outreach (Email + LinkedIn)
Skylead,skylead.io,Multichannel Outreach (Email + LinkedIn)
Expandi,expandi.io,Multichannel Outreach (Email + LinkedIn)
SalesRobot,salesrobot.co,Multichannel Outreach (Email + LinkedIn)
PhantomBuster,phantombuster.com,Multichannel Outreach (Email + LinkedIn)
Dux-Soup,dux-soup.com,Multichannel Outreach (Email + LinkedIn)
Zopto,zopto.com,Multichannel Outreach (Email + LinkedIn)
LinkedHelper,linkedhelper.com,Multichannel Outreach (Email + LinkedIn)
Closely,closelyhq.com,Multichannel Outreach (Email + LinkedIn)
Meet Alfred,meetalfred.com,Multichannel Outreach (Email + LinkedIn)
Octopus CRM,octopuscrm.io,Multichannel Outreach (Email + LinkedIn)
Kennected,kennected.io,Multichannel Outreach (Email + LinkedIn)
HeyReach,heyreach.io,Multichannel Outreach (Email + LinkedIn)
Dripify,dripify.com,Multichannel Outreach (Email + LinkedIn)
Salesflow,salesflow.io,Multichannel Outreach (Email + LinkedIn)
WeConnect,weconnect.chat,Multichannel Outreach (Email + LinkedIn)
Salesloop,salesloop.io,Multichannel Outreach (Email + LinkedIn)
Jobin.cloud,jobin.cloud,Multichannel Outreach (Email + LinkedIn)
Evaboot,evaboot.com,Multichannel Outreach (Email + LinkedIn)
Apollo,apollo.io,Email + Prospecting Platform
GetProspect,getprospect.io,Email + Prospecting Platform
LeadFuze,leadfuze.com,Email + Prospecting Platform
Hunter.io,hunter.io,Email + Prospecting Platform
Lusha,lusha.com,Email + Prospecting Platform
Snov.io,snov.io,Email + Prospecting Platform
Outbase,outbase.com,Email + Prospecting Platform
FindThatLead,findthatlead.com,Email + Prospecting Platform
Seamless.ai,seamless.ai,Email + Prospecting Platform
LeadIQ,leadiq.com,Email + Prospecting Platform
SalesIntel,salesintel.io,Email + Prospecting Platform
Amplemarket,amplemarket.com,Email + Prospecting Platform
Growlabs,growlabs.com,Email + Prospecting Platform
Lead411,lead411.com,Email + Prospecting Platform
